Leaderboard,Rank,Name,Stars
GLOBAL_TOP_100,1,vishal chauhan,36
GLOBAL_TOP_100,2,Igor Kovacevic,36
GLOBAL_TOP_100,3,Hedley Gisbourne,36
GLOBAL_TOP_100,4,Bill Pargeter,36
GLOBAL_TOP_100,5,Alexander Pokislyuk,36
GLOBAL_TOP_100,6,Marius Chirila,36
GLOBAL_TOP_100,7,mingchuno,34
GLOBAL_TOP_100,8,Bojan Petrovski,36
GLOBAL_TOP_100,9,Xavier Oswald,36
GLOBAL_TOP_100,10,Angus Chan,36
GLOBAL_TOP_100,11,amarbabu,36
GLOBAL_TOP_100,12,Toby Allen,36
GLOBAL_TOP_100,13,Marcel Bucher,36
GLOBAL_TOP_100,14,Ruben Brönnimann,36
GLOBAL_TOP_100,15,James Wilson,36
GLOBAL_TOP_100,16,Henry Yim,36
GLOBAL_TOP_100,17,trevmoody,36
GLOBAL_TOP_100,18,Pawel Skwarcz,36
GLOBAL_TOP_100,19,Vladimir Kochanov,36
GLOBAL_TOP_100,20,Sachin Tandon,8
